timestamp,evaluator,persona_id,scenario_id,entry_point,first_action,activation_path,task_plan_type,evaluation_mode,evidence_type,artifact_ref,score_entry_clarity,score_activation_fit,score_trust_ramp,score_task_framing,score_understanding,score_trust,score_control,score_time_value,score_output_professionalism,score_revision_efficiency,score_memory_growth,score_annoyance,score_recommendation,friction_codes,launch_severity,finding_summary,exact_evidence,recommended_fix,owner
2026-04-01T18:30:00+08:00,Codex,P1,INIT-E1-A1-01,friend_referral,send_photos,video_first,single_next_step,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,4,4,3,3,4,4,3,3,3,2,2,2,3,"VALUE-02;INIT-05",P1,Photo send works but first trial is not the shortest path,"listing_video/start_video with awaiting=style_selection",Default style or defer style choice until preview/revision,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P1,INIT-E1-A2-01,friend_referral,ask_what_is_this,trust_first,single_next_step,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,2,2,2,2,2,2,2,2,3,2,1,4,1,"INIT-02;INIT-04",P1,App/setup confusion is answered with generic welcome,"Is this an app? How do I use this? -> first_contact/welcome",Add a trust/setup intent with one short answer plus one next step,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P5,INIT-E1-A3-01,friend_referral,ask_security,trust_first,single_next_step,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,1,1,1,2,1,1,2,2,3,2,1,5,1,"TRUST-01;TRUST-02",P0,Security question is not answered directly,"How do I know this is secure and not spam? -> first_contact/welcome",Return a direct trust answer and only then a starter task,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P3,INIT-E2-A5-01,landing_page,complete_onboarding_form,form_first,single_next_step,manual_review,page_review,"console/router.py;console/templates/onboarding_form.html",1,1,2,1,2,2,2,1,2,2,1,5,1,"INIT-05;VALUE-01",P1,Form is positioned as setup before value,"Invite says I need 60 seconds of your time and form says takes about 1 minute",Reframe onboarding as optional acceleration not entry gate,"console;openclaw"
2026-04-01T18:30:00+08:00,Codex,P1,INIT-E2-A1-01,landing_page,send_photos,video_first,single_next_step,manual_review,concept_review,"doc/prelaunch-experience/mock-output-packs.json:T1",2,2,2,2,2,2,2,2,3,2,1,4,2,"INIT-03;INIT-05",P1,Video-first landing entry is not implemented as a real surface,"No landing page code exists and no single CTA can be reviewed",Either build the page or keep first-use choice inside chat,"console;openclaw"
2026-04-01T18:30:00+08:00,Codex,P3,INIT-E2-A4-01,landing_page,try_daily_insight,insight_first,branch_recommendation,manual_review,concept_review,"doc/prelaunch-experience/mock-output-packs.json:T2",2,2,2,2,2,2,2,2,3,2,1,4,2,"INIT-03;VALUE-03",P1,Insight-first landing path is promised but not implemented,"Only concept pack exists and there is no real CTA surface",Do path recommendation in OpenClaw until a real landing entry exists,"console;openclaw"
2026-04-01T18:30:00+08:00,Codex,P2,INIT-E3-A6-01,operator_interview,interview_then_execute,interview_first,task_card,manual_review,concept_review,"doc/prelaunch-experience/mock-output-packs.json:T3",1,2,2,2,2,2,2,2,3,2,2,4,2,"INIT-06;VALUE-04",P1,Interview-first exists only as concept and not as runnable starter-task surface,"Mock task card exists but no console or API surface produces it",Expose starter tasks in OpenClaw and a recommendation contract in backend,"openclaw;backend;console"
2026-04-01T18:30:00+08:00,Codex,P3,INIT-E4-A4-01,direct_message,try_daily_insight,insight_first,branch_recommendation,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,4,4,3,3,4,3,3,3,3,1,1,2,3,"FLOW-04",P1,Exact daily insight command works but the lane is fragile,"daily insight -> daily_insight/start_daily_insight while hints promise unsupported refinements",Support or remove refinement commands before scaling insight-first,"backend;openclaw;shared"
2026-04-01T18:30:00+08:00,Codex,P1,INIT-E4-A1-01,direct_message,send_photos,video_first,single_next_step,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,4,4,3,3,4,4,3,3,3,2,2,2,3,"VALUE-02;INIT-05",P1,Natural photo send is accepted but still blocked by style choice,"listing_video/start_video with style_selection",Auto-recommend style and let user adjust later,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P5,INIT-E4-A7-01,direct_message,ask_price,trust_first,single_next_step,live_dialogue,live_http,doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv,1,1,2,2,1,1,2,2,3,2,1,5,1,"TRUST-04;INIT-04",P1,Pricing question is dodged instead of answered,"How much is this per month? -> first_contact/welcome",Add explicit pricing/trial intent and a short ROI-safe reply,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P5,INIT-E2-A8-01,landing_page,passive_skim,trust_first,branch_recommendation,manual_review,concept_review,"doc/prelaunch-experience/mock-output-packs.json:T5",1,1,2,1,2,2,2,2,3,2,1,4,1,"INIT-03;INIT-05",P1,There is no real low-risk passive entry surface yet,"No implemented landing page or single CTA exists",Use skip-the-form chat entry until a real passive surface ships,"console;openclaw"
2026-04-01T18:30:00+08:00,Codex,P3,INIT-E2-A5-02,onboarding_form,resist_form,trust_first,single_next_step,manual_review,page_review,"console/templates/onboarding_form.html;console/templates/form_done.html",1,1,2,1,2,2,2,1,2,2,1,5,1,"INIT-05;VALUE-01;VALUE-03",P1,Resisting users have no try-before-fill escape hatch,"Form and done page both point only to later setup or later video use",Offer skip path and dual CTA after form completion,"console;openclaw"
2026-04-01T18:30:00+08:00,Codex,P1,VIDEO-P1-01,direct_message,send_photos,video_first,single_next_step,manual_review,live_plus_mock,"doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv;doc/prelaunch-experience/mock-output-packs.json:T1",2,2,3,2,3,3,2,2,3,2,2,4,2,"VALUE-02",P1,Video-first path still risks asking too much before showing value,"Current first step is style choice not first sample or first win",Compress missing-info collection into one turn after momentum is established,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P1,VIDEO-P1-02,landing_page,ask_for_sample_first,video_first,branch_recommendation,manual_review,concept_review,"doc/prelaunch-experience/mock-output-packs.json:V1;doc/prelaunch-experience/mock-output-packs.json:T4",2,2,3,2,2,2,2,2,3,2,1,4,2,"INIT-05;VALUE-01",P2,Sample-before-preference path is not implemented,"Only mock packs show the idea and the product still asks for style up front",Move style calibration after first sample or first draft,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P3,VIDEO-P1-03,direct_message,wait_for_video,video_first,single_next_step,manual_review,mock_pack,"doc/prelaunch-experience/mock-output-packs.json:V4",2,2,3,2,2,2,2,2,2,2,1,4,2,"FLOW-01;FLOW-02",P1,Progress phase risks sounding like an internal job log,"V4 uses SCRIPTING COMPLETE style messages that feel technical and cold",Map internal steps to conversational progress states with time anchors,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P4,VIDEO-P1-04,direct_message,review_delivery,video_first,single_next_step,manual_review,mock_pack,"doc/prelaunch-experience/mock-output-packs.json:V1",4,4,4,4,4,4,4,4,4,3,2,2,4,"OUTPUT-05",P2,Delivery format can feel publishable when the content quality is good,"V1 caption and hashtags feel agent-authored and easy to scan",Use V1 as the delivery quality bar and preserve that structure in OpenClaw rendering,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P4,VIDEO-P1-05,direct_message,review_delivery,video_first,single_next_step,manual_review,live_http,"doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv",1,1,3,1,1,2,1,2,3,1,1,5,1,"FLOW-03;OUTPUT-05",P1,Revision lane is unstable after delivery,"make it more professional -> style_selection/set_style",Prioritize revision intent in delivered context and keep adjust inside the same lane,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P3,INSIGHT-P2-01,direct_message,try_daily_insight,insight_first,branch_recommendation,manual_review,live_plus_mock,"doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv;doc/prelaunch-experience/mock-output-packs.json:I1",3,3,3,3,3,3,3,3,3,1,1,3,3,"VALUE-03",P1,Insight can start quickly only for the exact command not for natural phrasing,"daily insight works but mixed phrasing is misrouted",Broaden insight intent recognition before pushing this path,"backend"
2026-04-01T18:30:00+08:00,Codex,P3,INSIGHT-P2-02,direct_message,review_insight,insight_first,single_next_step,manual_review,mock_pack,"doc/prelaunch-experience/mock-output-packs.json:I1",4,4,4,4,4,4,3,4,4,2,2,2,4,"OUTPUT-06",P2,The good insight pack is local and usable which proves the lane can be valuable,"I1 headline and caption feel timely and local",Keep local relevance as the default bar and reject generic insight drafts,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P3,INSIGHT-P2-03,direct_message,refine_or_publish,insight_first,single_next_step,manual_review,live_http,"doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv",1,1,2,1,1,2,1,2,3,1,1,5,1,"FLOW-04;OUTPUT-04",P0,Insight refinement and publish affordances are not contract-safe,"shorter is rejected and more professional is routed as style_selection",Freeze supported commands and test every user-visible hint end to end,"backend;openclaw;shared"
2026-04-01T18:30:00+08:00,Codex,P3,INSIGHT-P2-04,direct_message,continue_to_video,insight_first,branch_recommendation,manual_review,concept_review,"doc/prelaunch-experience/mock-output-packs.json:T2;console/templates/form_done.html",2,2,3,2,2,2,2,2,3,2,1,4,2,"MEM-04;A2",P2,Insight-to-video handoff is not surfaced anywhere real,"Good branch recommendation exists only in mock pack and form completion pushes only video later",Add a post-insight CTA that offers the best next video task,"openclaw;console"
2026-04-01T18:30:00+08:00,Codex,P1,LONG-P3-01,direct_message,repeat_use,video_first,single_next_step,manual_review,code_review,"console/memory_schema.py;doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv",2,2,3,2,2,2,2,2,3,2,2,4,2,"MEM-02",P1,Third-use experience is not visibly lighter than first use,"System stores profile fields but not path preference or activation history",Persist and use path preference after a successful first-use path,"backend;console;openclaw"
2026-04-01T18:30:00+08:00,Codex,P2,LONG-P10-01,direct_message,repeat_use,video_first,single_next_step,manual_review,code_review,"console/memory_schema.py;doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv",2,2,3,2,2,2,2,2,3,1,2,4,2,"MEM-01;MEM-04",P1,Tenth-use revision still falls back to setup semantics,"Delivered revision text still becomes style_selection",Track revision intent as behavioral memory not only field memory,"backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P2,LONG-P20-01,direct_message,repeat_use,video_first,single_next_step,manual_review,code_review,"console/templates/dashboard.html;console/templates/client_detail.html",2,2,3,2,2,2,2,2,3,2,2,4,2,"MEM-03",P2,Twentieth-use assistant mindshare is not visible in any surface,"No console surface shows confidence path history or learning",Make growth visible to both operators and users,"console;backend"
2026-04-01T18:30:00+08:00,Codex,P1,LONG-P20-02,direct_message,refer_colleague,trust_first,branch_recommendation,manual_review,synthesis,"doc/prelaunch-experience/evidence/2026-04-01/http-summary.csv;doc/prelaunch-experience/evidence/2026-04-01/manual-review-notes.md",1,2,2,2,1,1,2,2,3,2,2,5,1,"TRUST-01;INIT-01",P1,Referral willingness is blocked by trust and path confusion,"App price security and first-step questions all miss today",Fix trust-first questions before expecting word-of-mouth growth,"backend;openclaw;console"
2026-04-01T18:30:00+08:00,Codex,P3,OPS-DASH-01,operator_ui,review_dashboard,interview_first,branch_recommendation,manual_review,page_review,"console/templates/dashboard.html;console/memory_schema.py",2,2,3,2,2,3,2,3,3,2,2,3,2,"OPS-01;OPS-02",P1,Dashboard shows readiness but not recommended path,"Only completeness and video/insight ready badges are rendered",Add recommended path and next action per client,"console;backend"
2026-04-01T18:30:00+08:00,Codex,P2,OPS-CLIENT-01,operator_ui,review_client_detail,interview_first,task_card,manual_review,page_review,"console/templates/client_detail.html",2,2,3,2,2,3,2,3,3,2,2,3,2,"OPS-02;OPS-04",P1,Client detail is field-centric rather than next-step-centric,"Pending sections are grouped by collection channel not by activation goal",Show one recommended next move before any field list or skill brief edit,"console;backend"
2026-04-01T18:30:00+08:00,Codex,P3,OPS-ONBOARD-01,operator_ui,review_onboarding,form_first,single_next_step,manual_review,page_review,"console/templates/onboarding.html;console/router.py",1,1,2,1,2,2,2,1,2,2,1,4,1,"OPS-01;INIT-05",P1,Operator onboarding overstates readiness and setup value,"UI shows 视频就绪 and 洞察就绪 when link is merely sent",Separate form sent from activation successful and route next trial explicitly,"console;backend;openclaw"
2026-04-01T18:30:00+08:00,Codex,P2,OPS-SKILL-01,operator_ui,edit_skill_brief,interview_first,task_card,manual_review,page_review,"console/templates/client_detail.html",2,2,3,2,2,3,2,2,2,2,2,3,2,"OPS-04",P2,Skill brief editing is powerful but too internal for ordinary ops work,"UI exposes large prompt-like brief editors with bytes and reset actions",Move most ops guidance to structured recommendations not freeform brief editing,"console"
